k,Metric,TextSimMeasure,trainSetSize,accuracy,precision_for_classification,recall_for_classification,f1score_for_classification,westgermany_precision,westgermany_recall,westgermany_f1score,usa_precision,usa_recall,usa_f1score,france_precision,france_recall,france_f1score,uk_precision,uk_recall,uk_f1score,canada_precision,canada_recall,canada_f1score,japan_precision,japan_recall,japan_f1score,
2,EuclidianMetric,TFM,0.7,0.6733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7991967871485943,0.8361344537815126,0.8172484599589322,0.07692307692307693,0.08333333333333333,0.08,0.0,0.0,0.0,0.11627906976744186,0.0684931506849315,0.08620689655172413,0.0,0.0,0.0,
2,EuclidianMetric,TFM,0.6,0.62125,0.0,0.0,0.0,0.0,0.0,0.0,0.7374810318664643,0.8209459459459459,0.7769784172661871,0.05555555555555555,0.03333333333333333,0.04166666666666667,0.0,0.0,0.0,0.17857142857142858,0.06944444444444445,0.1,0.0,0.0,0.0,
2,EuclidianMetric,TFM,0.5,0.652,0.0,0.0,0.0,0.1111111111111111,0.043478260869565216,0.0625,0.7843137254901961,0.8290155440414507,0.8060453400503779,0.08695652173913043,0.0392156862745098,0.05405405405405406,0.0,0.0,0.0,0.1,0.06611570247933884,0.07960199004975124,0.058823529411764705,0.03571428571428571,0.044444444444444446,
2,EuclidianMetric,TFM,0.4,0.6725,0.0,0.0,0.0,0.1,0.023255813953488372,0.03773584905660377,0.7925851703406813,0.8335089567966281,0.812532100667694,0.14285714285714285,0.08823529411764706,0.10909090909090909,0.0,0.0,0.0,0.10416666666666667,0.07092198581560284,0.08438818565400845,0.13333333333333333,0.06060606060606061,0.08333333333333333,
2,EuclidianMetric,TFM,0.3,0.6407142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.7542955326460481,0.8426103646833013,0.7960108794197642,0.08333333333333333,0.024390243902439025,0.037735849056603765,0.015625,0.125,0.027777777777777776,0.14018691588785046,0.06976744186046512,0.09316770186335403,0.03571428571428571,0.07692307692307693,0.04878048780487805,
4,EuclidianMetric,TFM,0.7,0.8266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9556840077071291,0.8641114982578397,0.907593778591034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,EuclidianMetric,TFM,0.6,0.805,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,0.8352788586251622,0.8956884561891517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,EuclidianMetric,TFM,0.5,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.9486873508353222,0.839493136219641,0.8907563025210083,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.05,0.03773584905660378,0.0,0.0,0.0,
4,EuclidianMetric,TFM,0.4,0.7816666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9406438631790744,0.8267020335985853,0.8799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.06521739130434782,0.04316546762589928,0.0,0.0,0.0,
4,EuclidianMetric,TFM,0.3,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.9466437177280551,0.8308157099697885,0.8849557522123893,0.0,0.0,0.0,0.0,0.0,0.0,0.04504504504504504,0.09803921568627451,0.0617283950617284,0.04,0.3333333333333333,0.07142857142857142,
6,EuclidianMetric,TFM,0.7,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.9939393939393939,0.825503355704698,0.9019248395967003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,EuclidianMetric,TFM,0.6,0.8325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8335419274092616,0.9092150170648464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,EuclidianMetric,TFM,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9803439803439803,0.8126272912423625,0.8886414253897551,0.0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.1111111111111111,0.041237113402061855,0.0,0.0,0.0,
6,EuclidianMetric,TFM,0.4,0.8133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.9838709677419355,0.8264182895850973,0.8982972848596411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,EuclidianMetric,TFM,0.3,0.8157142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.9930434782608696,0.8227665706051873,0.8999211977935382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,EuclidianMetric,TFM,0.7,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.9920318725099602,0.8355704697986577,0.9071038251366119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
